I'm a female in my mid 20s. Lately I tend to over drink and I've become a very angry drunk. In the past, I have even cheated on my boyfriend while I was under the influence of alcohol. But now, even if I don't do anything wrong and don't embarrass myself, I still feel really guilty after a night of drinking. I don't understand why I'm feeling this way. Does this mean I have a problem?	"Hello, I commend you for your courage in taking a look at the role alcohol has in your life. It sounds like you're concerned about what happens when you drink too much and I suspect you already know the answer to your question about whether you have a problem or not. I imagine you would like to stop feeling guilty and would like to avoid cheating on your boyfriend or other negative consequences and maybe have a fear of being or becoming an ""addict"" or ""alcoholic."" You might have a ""problem"" but that does not necessarily mean that you are an addict. I don't have information to know if ""addiction"" or ""dependence"" or other words would best describe where you are with drinking, but it sounds like it's begun to have some negatives, so forgive me using words like addict, dependence and so on. I mean it more as a road map than a diagnosis. The feedback I'm writing here is very general and doesn't address physical dependence and many other factors that might apply to your situation.  One of the ways to think about substance (mis)use is to think of addiction as a disease of avoidance. Let me repeat that: it is a disease of avoidance. Your ultimate task in living a balanced life is to figure out what you're avoiding and develop other ways to manage those feelings, experiences, and so on. And of course, along the way, you may want to look at triggers, situations, biological vulnerability, social pressures, coping skills, relapse prevention planning and so on. Depending on where you are in your drinking, you might very well benefit from expertise and support. Remember also that alcohol depresses our central nervous system and disinhibits us. That means that alcohol is often a substance of choice to relax, destress, calm down, etc. Also, it allows feelings, thoughts, and behaviors that we usually inhibit to be expressed. If you were unfaithful and often angry, that's your first signpost. For angry drinkers, it is often true that you don't drink and then get angry, you drink in order to express anger. I recommend you find someone you can speak frankly with, who is knowledgeable about addiction. Wishing you the best health and wellness."
I'm a female in my mid 20s. Lately I tend to over drink and I've become a very angry drunk. In the past, I have even cheated on my boyfriend while I was under the influence of alcohol. But now, even if I don't do anything wrong and don't embarrass myself, I still feel really guilty after a night of drinking. I don't understand why I'm feeling this way. Does this mean I have a problem?	The short answer is yes - if you feel 'really guilty after a night of drinking', then you probably have a problem. What you could do is visit this website by the National Institutes of Health: http://rethinkingdrinking.niaaa.nih.gov/How-much-is-too-much/  There you will find information on how many drinks is too much, and the general answer for women is more than seven drinks in a week. There is also a quiz you can take anonymously that will help you determine if your drinking is a problem. The good news is that you can get help for substance abuse through counseling, self-help programs, or alcoholics anonymous.
I'm a female in my mid 20s. Lately I tend to over drink and I've become a very angry drunk. In the past, I have even cheated on my boyfriend while I was under the influence of alcohol. But now, even if I don't do anything wrong and don't embarrass myself, I still feel really guilty after a night of drinking. I don't understand why I'm feeling this way. Does this mean I have a problem?	"Guilt is a narcissistic, self-indulgent focus on me, me, me; it's best not to keep it in negative light;What does that mean?  Well, it stems from mankind having an animal nature, and a spiritual nature;In most societies today, the animal nature is looked down upon, seen as egregious and something to be put away;If I may say to you, it is necessary and important (if you wish to end an experience called ""guilt"") to NOT regard your animal nature as negative, but to accept that you have it, and acknowledge it;The more openly a man or woman acknowledges they're animal-side, the quicker one may subdue it;Try giving your animal nature a name, and talk to it like a cute pet... ""Oh, hey, there, Snorky!  Oh, what's that?  You want to be a wealthy, famous Hollywood idol?  Oh, really!  Agaiiiiiiin, Snorky!  Geez, you're impossible!  Ain't you just the cutest thing!"""
I'm a female in my mid 20s. Lately I tend to over drink and I've become a very angry drunk. In the past, I have even cheated on my boyfriend while I was under the influence of alcohol. But now, even if I don't do anything wrong and don't embarrass myself, I still feel really guilty after a night of drinking. I don't understand why I'm feeling this way. Does this mean I have a problem?	I offer that getting a professional assessment is in order to look at your relationship with alcohol.
I'm a female in my mid 20s. Lately I tend to over drink and I've become a very angry drunk. In the past, I have even cheated on my boyfriend while I was under the influence of alcohol. But now, even if I don't do anything wrong and don't embarrass myself, I still feel really guilty after a night of drinking. I don't understand why I'm feeling this way. Does this mean I have a problem?	Speaking with a licensed therapist will help you figure out if indeed you have a problem or not.  I would say the first question you should ask yourself is why you are drinking? The second would be why you feel the need to drink in excess? It may be due to a life event or the crowd you are running with.  Either way a therapist will be able to help you through this as you already made the first step in admitting you are having a difficult time.
I'm a female in my mid 20s. Lately I tend to over drink and I've become a very angry drunk. In the past, I have even cheated on my boyfriend while I was under the influence of alcohol. But now, even if I don't do anything wrong and don't embarrass myself, I still feel really guilty after a night of drinking. I don't understand why I'm feeling this way. Does this mean I have a problem?	Usually when someone asks if they have a problem, they believe they do have a problem!The first step is to understand your own theory and definition as to what problem you feel you have.  Some possibilities are feeling unhappy in the relationship to your boyfriend, not having enough discussion between the two of you, not feeling cared about by your boyfriend, not liking your boyfriend.Did you grow up in a family in which the grownups drank to the point of excess at the times they felt stressed?Family modeling of how to handle problems may have left you no knowing how to handle stress except to drink to excess.Ask yourself what it is you feel guilty of doing?The guilt may point you in a good direction if it is your sense of self-esteem telling you to find better ways of managing your life.Do you drink alone or together with friends?Try defining your specific reasons for drinking because this is the first step to know how to handle the situation differently.
Or how to send him somewhere that can help him, something like The Baker Act.	More information would be needed for me to accurately answer this question, such as your age, whether you live with your dad or not, and what other family members live in the household. Something like this, alcoholism, is a whole family disease. In other words, family members often unknowingly contribute to the alcoholism and enable the alcoholic to continue the destructive behavior.First of all, you can’t make your dad do anything, and constantly nagging him or begging him to stop is just going to make him defensive and make this worse. Nobody can change another person. What you can do is change how you react to him and the things that you and other family members do for him. Research codependency. There’s a great book called Codependent No More. There are a lot of articles on the internet that you can read. In short, you have to stop enabling him. Like I said, you cannot control him, but you can control yourself. This means do not buy his alcohol. Do not make it easy for him to get. Don’t loan him the car keys or pay any household bills for him. Don’t call in sick to work for him or make excuses for him in any way. Do not bail him out of jail when he gets arrested. He needs to be responsible for himself. This may mean losing his job or losing his driver’s license. This may mean that he loses his family if he doesn’t stop. What you and your family can do is set boundaries about what you will put up with. It is his choice to drink, but it is your choice to put up with the behaviors of his drinking. A lot of people go into rehab because their spouse said if they don’t then they are getting a divorce.If you are an adult and you don’t live with your dad, then the best thing you can do for him is STOP doing things for him. If you are a child who lives at home with him, then this could be a case for child protective services. In my state this is called DHS. A report is made to this organization for child abuse or neglect. Substance abuse in the home qualifies. Of course, alcohol is legal and when consumed in moderation, there is no problems. The problem will be the result of his alcohol consumption. Does he drive with children in the car while intoxicated? Is he left to care for minors while in an intoxicated state? Are there any domestic violence issues due to his drinking? This could be a reason for the authorities to step in. You can look for a local meeting for family members of alcoholics. They are similar to the AA meetings that an alcoholic should go to, but are for the family members. They can help you.
Or how to send him somewhere that can help him, something like The Baker Act.	Your dad needs to be aware that he has a problem and be willing to make some changes in order for him to be motivated to stop.  Often times individuals will be forced to stop when they were not ready.  Remember we can not ever make someone do something they do not want to do.  There needs to be at least a little willingness on the other party to make some changes.  I would encourage you to reach out to your family or other loved ones and have a conversation with your dad regarding your concerns.
I'm planning to have baby, so I have to quit smoking - but it's hard. Sometimes it's not a physical need, it's mental. I cannot help myself from thinking about smoking. What can I do to get rid of this addiction?	"Hi. Good for you in planning ahead to do what's healthiest for your baby (and yourself). That's a great first step! It's also good that you are able to identify that it's not always a physical need that's driving the addiction.For the next steps, I would suggest trying to figure out when the psychological cravings for a cigarette occur. The psychological (or mental) cravings are usually based out of habit, such as having a cigarette after a meal. And if you're consciously trying to quit, you'll find the craving starts with simply thinking about having a cigarette, then usually moves on to thinking about how good it made you feel, etc., etc. Well, if I'm on a diet and I continue to let myself think about the ice cream sitting in the freezer, eventually I'll give in and eat it.You're going to have thoughts about smoking a cigarette. That's normal and, for the most part, out of your control. But you choose whether or not to CONTINUE thinking and dwelling about it after that initial thought. That's what you would have to work on changing. When you have that initial thought, acknowledge it (""Ok, I kind of want a cigarette now.""), but then change the thoughts that typically follow. Distract yourself, think about something else, do something else, whatever it takes to get your mind off of that cigarette.I've suggested to clients before that they should plan these scenarios out ahead of time so they already know what they're going to do when the time comes. Write down when you usually have the craving for a cigarette and then write down new thoughts or things to do to get your mind off of it. Eventually, it will become easier and easier to brush off that initial thought until you no longer have it.Best of luck, and you have a really great motivator to quit - your baby!"
I'm planning to have baby, so I have to quit smoking - but it's hard. Sometimes it's not a physical need, it's mental. I cannot help myself from thinking about smoking. What can I do to get rid of this addiction?	First off, I would like to congratulate you on making the decision to stop smoking.  The next thing I want to share is that there are so many different ways to kick the habit. Some people find solace in groups, while others prefer to see a counselor about this individually. Remember, that the crux of addiction is feeling one way and using a substance or thing to feel a different way.  My suggestion is to find an addiction counselor and create an individualized plan together to help you stop smoking . Your chances of stopping smoking are much higher when you have professional support and a plan to work on outside of your sessions.
I'm planning to have baby, so I have to quit smoking - but it's hard. Sometimes it's not a physical need, it's mental. I cannot help myself from thinking about smoking. What can I do to get rid of this addiction?	While smoking can be incredibly difficult to quit doing, it's not impossible, so the first thing to NOT lose is hope. And certainly planning to have a baby can be exactly the catalyst that one needs to motivate to complete this sort of task. But, as I said, it still won't be easy, even with the motivation there.There is a definite physical component, but it's great that you can acknowledge the psychological addiction that exists. It would be helpful to dive into what that psychological need actually is, as it can vary from person to person (whereas the physical addiction doesn't as much, and therefor can be helped through gums and patches and inhalers, etc.) Exploring and getting to the root of the psychological need can help you to determine what is going on for you psychologically, and how else you can meet those needs of yours, perhaps in much healthier and more adaptive ways, that also help you to feel really good about yourself. While replacement is not always advocated, having psychological needs is not something to be ashamed of, but rather nurtured.
I'm planning to have baby, so I have to quit smoking - but it's hard. Sometimes it's not a physical need, it's mental. I cannot help myself from thinking about smoking. What can I do to get rid of this addiction?	"It's very admirable that you are trying to stop smoking for the sake of your health and your child's health.  The mental aspect of quitting a drug can and usually is the hardest part.  First, it can be helpful to change the focus of your thinking so you are focusing on the healthy behaviors you will start/improve rather than only focusing on the behavior that you are trying to stop.  The reason for this is that our brains hear the main topic of our thoughts.  That is, when you tell yourself ""quit smoking, quit smoking, quit smoking"", your brain hears ""smoking, smoking, smoking"".  So we need to put together a self-care plan that addresses your thinking, emotions, and behaviors (nutrition, physical activity, and other stress reducing activities).  The idea is to have an effective plan in place to both prevent yourself from feeling intense stress (which increases cravings) and to have a well-placed plan for when the intense cravings inevitably present themselves.  And lastly, and possibly the most important; You have to believe you deserve to be the healthiest version of yourself.  Think about the times when you are most vulnerable to smoke (stressful situations, after meals, when drinking, social situations, etc.).  The use of affirmations is also an important resource as what we say to ourselves effects our mood.  Repeatedly telling yourself ""i am healthy, ""i am getting healthier, ""my lungs are becoming clear and healthy"" or other affirmations like this.  Even if you don't believe them at first, continue saying them.  This step is important to improve cognitive flexibility which trains your brain to be open to change.  Think about activities that you like to do or that you would like to try and replace smoking with those activities.  Any activity that can make you laugh (time with friends, watching comedies, etc.) will evoke a calming response because when we feel happy, we typically don't feel stressed out simultaneously."
I'm planning to have baby, so I have to quit smoking - but it's hard. Sometimes it's not a physical need, it's mental. I cannot help myself from thinking about smoking. What can I do to get rid of this addiction?	Breaking any habit is no easy feat.   Cutting down or cutting out cigarettes is very challenging, and there aren't any one size fits all solutions.  Fortunately, there are a lot of tricks and tools that you can use to stop smoking.  1. Many habits that we have are paired habits. If we do one thing, then we will do the other thing.  Think about the activities that you do when smoking and try to pair those activities with another activity other than smoking.  For instance, many people smoke while they drive.  Consider planning another activity to do while driving. (It might not be driving for you, but you get the idea! :)).  It might be taking a walk instead of smoking on your break at work.  2.  Create distance between you and the habit you are trying to break.  This approach could be used in a variety of different ways.  If you smoke first thing in the morning, consider leaving your cigarettes in a different room in your home.  Walking the extra couple of feet could help you decide not to smoke.   Leave your credit or debit cards at home and carry less emergency cash than a pack of cigarettes.  With this strategy, you are trying to create some distance between you the cigarettes so that you have to jump through extra hoops to get them.  3.  Consider cutting back before cutting out.  If you are smoking 10 cigarettes a day, try smoking 9. Then cut back to 8 and so on.  Having a plan to reduce harm may be more sustainable than cutting things out altogether. 4.  You could also talk to your doctor about the safety of nicotine patches. If you aren't already pregnant, this could be a great resource to help boost your success.  5. Focus on what you are gaining instead of what you are loosing. You may be losing cigarettes, but you are gaining money, health, taste buds, an increased sense of smell, lung capacity, a healthy baby etc.  You could plan small rewards/ treats with the money you save from decreasing cigarette purchases.  I recommend making these purchases small and frequent to keep up the momentum rather than waiting for a big payout a couple of months down the road.  Good luck! Cutting out cigarettes will be good for you and your baby.
I'm planning to have baby, so I have to quit smoking - but it's hard. Sometimes it's not a physical need, it's mental. I cannot help myself from thinking about smoking. What can I do to get rid of this addiction?	Hopefully you feel you have the time to follow this procedure.1. For a week - log when you smoke - time, place and activity2. Plan on cutting back 10% for a week.Cut out the easiest times.3.Next change the times and and activities for 3 days - consider water or candy or gum if it is very tough. 4. Cut another 10% each week until you are done.
I'm planning to have baby, so I have to quit smoking - but it's hard. Sometimes it's not a physical need, it's mental. I cannot help myself from thinking about smoking. What can I do to get rid of this addiction?	It is very good news that you realize the risks of smoking cigarettes while pregnant and are willing to stop.Thinking about smoking is a typical and frequent reaction to being without the substance.Be creative with what you know about yourself to distract you when this psychological urge comes up.  My suggestions are to imagine smoking if you find this would relieve the sense of wanting to smoke.Or, do the opposite and remind yourself of all the good reasons to not smoke.Also, since you're planning pregnancy then ask your partner for ideas on how to make the psychological feeling to want to smoke, feel less intense.Another suggestion is that your partner is your texting buddy to stop smoking.   With AA groups, a sponsor is always available for the alcoholic who feels distress about the urge to drink.   Having a trusted and caring person to tell about your problem helps in many situations.  Maybe it will help you to stop smoking.Good luck!
I'm planning to have baby, so I have to quit smoking - but it's hard. Sometimes it's not a physical need, it's mental. I cannot help myself from thinking about smoking. What can I do to get rid of this addiction?	Quitting smoking can be difficult. It's also true that there is part that is sometimes a physical need and a part that is often connected to emotions in some way. From the way that you wrote this, it sounds like you may have been able to stop smoking physically, but still have cravings.One thing you can do is talk with your primary care physician or OB/GYN about whether there is anything that you can take to help with the cravings. Sometimes that can very helpful.As far as the more emotional or mental piece, these things come to mind:Sometimes a crucial part is looking at the habit of smoking and seeing what else you can do to keep your mind and hands busy. There are sometimes toys, like those available at Office Playground, that may help to keep you physically occupied.There can also be changes or additions to your routine because I imagine that smoking took up a great deal of your time. Maybe when you have the temptation to get up and go to have a cigarette, you could have several other things that you can get up and do instead. The list is endless, but a few examples could be doing some physical exercise (with the permission of your doctor) just for a couple minutes because that could help with the craving as well, completing a puzzle, learning a new activity that requires using your hands (painting or knitting, perhaps).Another piece of quitting smoking is often linked to anxiety or other emotional changes, perhaps irritability. Depending on what it is that you may be feeling,  learning other strategies to use can be helpful as well.This can all be quite overwhelming and a very big life change. I would recommend that if things do not become easier for you, consider talking with a therapist. Then you could not only have some more strategies or ideas directly related to you, but you could have very direct support for what you are trying to do.I give you a lot of credit!
